城市,year,month,YYYY_MM,PM2.5
北京,2016,7,2016-07,67.38709677419355
北京,2016,8,2016-08,44.96774193548387
北京,2016,9,2016-09,53.166666666666664
北京,2016,10,2016-10,83.19354838709677
北京,2016,11,2016-11,96.4
北京,2016,12,2016-12,128.2258064516129
北京,2017,1,2017-01,110.54838709677419
北京,2017,2,2017-02,67.71428571428571
北京,2017,3,2017-03,61.225806451612904
北京,2017,4,2017-04,51.766666666666666
北京,2017,5,2017-05,57.806451612903224
北京,2017,6,2017-06,41.233333333333334
北京,2017,7,2017-07,50.96774193548387
北京,2017,8,2017-08,36.38709677419355
北京,2017,9,2017-09,54.56666666666667
北京,2017,10,2017-10,56.4
北京,2017,11,2017-11,44.06666666666667
北京,2017,12,2017-12,42.25806451612903
北京,2018,1,2018-01,32.67741935483871
北京,2018,2,2018-02,48.107142857142854
北京,2018,3,2018-03,88.48387096774194
北京,2018,4,2018-04,62.56666666666667
北京,2018,5,2018-05,54.54838709677419
北京,2018,6,2018-06,46.03333333333333
北京,2018,7,2018-07,47.903225806451616
北京,2018,8,2018-08,32.77777777777778
北京,2018,9,2018-09,25.551724137931036
北京,2018,10,2018-10,39.67741935483871
北京,2018,11,2018-11,69.23333333333333
北京,2018,12,2018-12,42.56
北京,2019,1,2019-01,49.774193548387096
北京,2019,2,2019-02,50.67857142857143
北京,2019,3,2019-03,50.806451612903224
北京,2019,4,2019-04,47.03333333333333
北京,2019,5,2019-05,36.193548387096776
北京,2019,6,2019-06,38.391304347826086
北京,2019,7,2019-07,36.04545454545455
北京,2019,8,2019-08,26.142857142857142
北京,2019,9,2019-09,35.166666666666664
北京,2019,10,2019-10,39.29032258064516
北京,2019,11,2019-11,43.7
北京,2019,12,2019-12,44.096774193548384
北京,2020,1,2020-01,58.32258064516129
北京,2020,2,2020-02,61.55172413793103
北京,2020,3,2020-03,34.096774193548384
北京,2020,4,2020-04,30.033333333333335
北京,2020,5,2020-05,35.45161290322581
北京,2020,6,2020-06,31.833333333333332
北京,2020,7,2020-07,40.32258064516129
北京,2020,8,2020-08,28.0
北京,2020,9,2020-09,23.233333333333334
北京,2020,10,2020-10,41.03225806451613
北京,2020,11,2020-11,36.5
北京,2020,12,2020-12,27.580645161290324
